experiment_id,student_id,experiment_date,variant,exposure,primary_conversion,guardrail_engagement,search_time_guardrail,processing_time_guardrail,company_id,job_id,event_type,skill,region,experience_years,job_openings,event_count,consent_status
EXP_001,Student_0186,2025-01-01 00:00:00.000,Treatment,1,1,0,1.51,23.4,Company_052,J0031,Student Applied,Tableau,West,1.0,10.0,1,Yes
EXP_001,Student_0060,2025-01-01 07:12:43.272,Treatment,1,1,1,3.4625,22.2,Company_015,J0122,Student Applied,Tableau,Central,2.75,4.0,4,Yes
EXP_001,Student_0178,2025-01-01 14:25:26.544,Control,1,0,1,6.93,50.275,Company_072,J0137,Company Posted,Sql,East,2.5,5.25,4,Yes
EXP_001,Student_0028,2025-01-01 21:38:09.816,Control,1,1,1,4.086666666666667,37.36666666666667,Company_061,J0051,Company Shortlisted,Tableau,West,3.0,6.666666666666667,3,Yes
EXP_001,Student_0220,2025-01-02 04:50:53.088,Control,1,1,1,3.245,27.475,Company_021,J0029,Company Shortlisted,Power Bi,South,3.25,6.25,4,No
EXP_001,Student_0101,2025-01-02 12:03:36.361,Treatment,1,1,1,11.316666666666668,49.333333333333336,Company_075,J0206,Student Applied,Python,North,2.3333333333333335,5.0,3,Yes
EXP_001,Student_0041,2025-01-02 19:16:19.633,Control,1,1,0,11.47,29.1,Company_075,J0040,Company Shortlisted,Excel,East,2.0,6.0,1,Yes
EXP_001,Student_0228,2025-01-03 02:29:02.905,Treatment,1,0,1,6.293333333333333,52.166666666666664,Company_024,J0041,Company Posted,Python,North,1.6666666666666667,6.0,3,Yes
EXP_001,Student_0192,2025-01-03 09:41:46.177,Treatment,1,0,1,7.5175,31.750000000000004,Company_003,J0214,Company Posted,Tableau,North,2.5,6.75,4,Yes
EXP_001,Student_0155,2025-01-03 16:54:29.449,Control,1,1,1,6.580000000000001,26.8,Company_022,J0011,Student Applied,Power Bi,North,2.5,5.5,6,Yes
EXP_001,Student_0246,2025-01-04 00:07:12.721,Treatment,1,0,0,5.01,67.4,Company_053,J0151,Company Posted,Marketing,South,0.0,3.0,1,Yes
EXP_001,Student_0191,2025-01-04 07:19:55.993,Treatment,1,1,1,7.4,28.049999999999997,Company_002,J0001,Company Shortlisted,Tableau,North,2.0,8.5,2,No
EXP_001,Student_0145,2025-01-04 14:32:39.265,Control,1,1,1,5.8066666666666675,31.25,Company_030,J0046,Company Shortlisted,Power Bi,Central,3.1666666666666665,7.166666666666667,6,Yes
EXP_001,Student_0201,2025-01-04 21:45:22.538,Treatment,1,1,1,9.26,36.15,Company_038,J0101,Student Applied,Sql,West,1.5,5.0,2,Yes
EXP_001,Student_0161,2025-01-05 04:58:05.810,Treatment,1,0,1,1.1566666666666665,48.333333333333336,Company_002,J0149,Company Posted,Power Bi,South,2.6666666666666665,8.0,3,Yes
EXP_001,Student_0245,2025-01-05 12:10:49.082,Treatment,1,0,0,11.78,27.8,Company_064,J0090,Company Posted,Sql,East,4.0,8.0,1,Yes
EXP_001,Student_0212,2025-01-05 19:23:32.354,Treatment,1,1,1,6.095,43.9,Company_060,J0110,Student Applied,Finance,East,2.25,7.75,4,Yes
EXP_001,Student_0205,2025-01-06 02:36:15.626,Control,1,1,1,8.63,28.55,Company_021,J0164,Company Shortlisted,Excel,West,2.25,5.0,4,Yes
EXP_001,Student_0240,2025-01-06 17:01:42.170,Treatment,1,0,1,7.0525,26.275000000000002,Company_076,J0215,Company Posted,Power Bi,North,2.25,2.5,4,Yes
EXP_001,Student_0157,2025-01-07 00:14:25.442,Control,1,1,1,3.9880000000000004,31.9,Company_058,J0057,Student Applied,Java,North,2.8,4.6,5,No
EXP_001,Student_0141,2025-01-07 07:27:08.715,Treatment,1,1,1,5.3566666666666665,25.066666666666666,Company_022,J0001,Student Applied,Tableau,Central,3.0,5.333333333333333,3,Yes
EXP_001,Student_0046,2025-01-07 14:39:51.987,Treatment,1,1,1,7.316666666666666,34.833333333333336,Company_049,J0063,Company Shortlisted,Python,Central,1.3333333333333333,6.333333333333333,3,No
EXP_001,Student_0035,2025-01-07 21:52:35.259,Control,1,0,1,5.443333333333334,40.300000000000004,Company_059,J0182,Company Posted,Data Analysis,North,2.0,3.6666666666666665,3,Yes
EXP_001,Student_0134,2025-01-08 05:05:18.531,Control,1,1,1,7.345999999999999,21.82,Company_042,J0055,Student Applied,Python,East,1.6,4.4,5,Yes
EXP_001,Student_0082,2025-01-08 12:18:01.803,Treatment,1,1,1,6.550000000000001,11.649999999999999,Company_060,J0115,Student Applied,Finance,East,1.5,2.5,2,Yes
EXP_001,Student_0115,2025-01-08 19:30:45.075,Treatment,1,1,1,3.4299999999999997,31.26,Company_080,J0168,Company Shortlisted,Data Analysis,Central,1.4,5.0,5,No
EXP_001,Student_0197,2025-01-09 02:43:28.347,Control,1,1,1,1.605,42.55,Company_015,J0143,Student Applied,Data Analysis,West,4.5,4.0,2,Yes
EXP_001,Student_0047,2025-01-09 09:56:11.619,Treatment,1,1,1,5.4087499999999995,29.7375,Company_062,J0149,Student Applied,Python,North,3.125,5.375,8,No
EXP_001,Student_0153,2025-01-09 17:08:54.891,Control,1,1,1,3.91,26.349999999999998,Company_062,J0175,Company Shortlisted,Sql,Central,2.0,1.5,2,Yes
EXP_001,Student_0194,2025-01-10 00:21:38.164,Treatment,1,0,1,5.9875,40.875,Company_047,J0201,Company Posted,Python,Central,3.0,6.5,4,Yes
EXP_001,Student_0010,2025-01-10 07:34:21.436,Treatment,1,1,1,5.936666666666667,41.43333333333333,Company_062,J0053,Company Shortlisted,Sql,North,2.6666666666666665,2.3333333333333335,3,No
EXP_001,Student_0056,2025-01-10 14:47:04.708,Control,1,1,1,2.425,21.5,Company_051,J0137,Student Applied,Finance,North,3.5,5.0,4,Yes
EXP_001,Student_0030,2025-01-10 21:59:47.980,Treatment,1,0,1,6.0175,35.575,Company_055,J0202,Company Posted,Tableau,East,1.0,3.5,4,No
EXP_001,Student_0242,2025-01-11 05:12:31.252,Treatment,1,0,0,9.87,67.8,Company_064,J0180,Company Posted,Marketing,West,1.0,6.0,1,Yes
EXP_001,Student_0109,2025-01-11 12:25:14.524,Control,1,1,1,3.4200000000000004,35.94,Company_003,J0057,Student Applied,Sql,West,3.4,6.8,5,Yes
EXP_001,Student_0005,2025-01-11 19:37:57.796,Treatment,1,0,1,6.0249999999999995,46.61666666666667,Company_051,J0117,Company Posted,Finance,North,1.6666666666666667,5.333333333333333,6,Yes
EXP_001,Student_0119,2025-01-12 02:50:41.068,Treatment,1,1,1,6.6049999999999995,23.15,Company_007,J0154,Student Applied,Java,South,3.5,3.0,2,No
